sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_md_1635162765.304","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635162765.310977",1,"UI:Search",0,1635162765,5,0,completed,"0.088",,,,,,,,,,,,,,,,,,,,
"rt_md_1635162787.307","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635162787.659286",1,"UI:Search",0,1635162788,5,0,canceled,"0.108",,,,,,,,,,,,,,,,,,,,
"1635162789.310","| history | search NOT search=""| history*"" AND NOT search=""*metadata*"" AND NOT search=""*loadjob*"" AND NOT savedsearch_name=""*"" AND NOT search=""search"" AND NOT search=""*from sid*"" AND NOT search=""| eventcount summarize=false index=* index=_**"" AND NOT provenance=""UI:LocateData"" AND NOT provenance=""UI:TableEditor"" AND NOT provenance=""UI:DataModel"" AND NOT provenance=""UI:Pivot"" AND NOT provenance=""UI:Dataset"" | dedup search | head 100000","DESKTOP-7BRP32B","1635162789.898517",0,"UI:Search",0,1635162790,0,0,completed,"0.177",,,,,,,,,,,,,,,,,,,,
"1635162802.311","search source=""listings.csv"" | stats avg(price) by  neighbourhood | sort by avg(price) | reverse","DESKTOP-7BRP32B","1635162802.050250",0,"UI:Search",22076,1635162802,215,22076,completed,"0.361","1635073200.000000000","1635162802.000000000","1635073200.000000000","1635162802.000000000",,,,,,,,,,,,,,,,
"rt_md_1635163303.321","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635163303.758659",1,"UI:Search",0,1635163304,0,0,canceled,"7.146",,,,,,,,,,,,,,,,,,,,
"1635163305.322","| history | search NOT search=""| history*"" AND NOT search=""*metadata*"" AND NOT search=""*loadjob*"" AND NOT savedsearch_name=""*"" AND NOT search=""search"" AND NOT search=""*from sid*"" AND NOT search=""| eventcount summarize=false index=* index=_**"" AND NOT provenance=""UI:LocateData"" AND NOT provenance=""UI:TableEditor"" AND NOT provenance=""UI:DataModel"" AND NOT provenance=""UI:Pivot"" AND NOT provenance=""UI:Dataset"" | dedup search | head 100000","DESKTOP-7BRP32B","1635163305.192690",0,"UI:Search",0,1635163305,1,0,completed,"0.147",,,,,,,,,,,,,,,,,,,,
"1635163310.326","search source=""listings.csv"" | stats avg(price) by  neighbourhood | sort by avg(price) | reverse","DESKTOP-7BRP32B","1635163310.916942",0,"UI:Search",22076,1635163311,215,22076,completed,"0.266","1635076800.000000000","1635163310.000000000","1635076800.000000000","1635163310.000000000",,,,,,,,,,,,,,,,
"1635163458.342","search source=""listings.csv"" | stats avg(price) by  neighbourhood | sort by avg(price) | reverse","DESKTOP-7BRP32B","1635163458.074904",0,"UI:Search",36923,1635163458,223,36923,completed,"0.367","1634558658.000000000","1635163458.000000000","1634558658.000000000","1635163458.000000000",,,,,,,,,,,,,,,,
"1635163511.348","search source=""listings.csv"" | stats avg(price) by  neighbourhood | sort by avg(price) | reverse","DESKTOP-7BRP32B","1635163511.760682",0,"UI:Search",36923,1635163512,223,36923,completed,"0.491","1634558711.000000000","1635163511.000000000","1634558711.000000000","1635163511.000000000",,,,,,,,,,,,,,,,
